"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2018-02-16","19","Orienteering","intervals","","00:26:26","","","","00:26:26","","","5.0","","3.0","","","","","","","","","","","","Saucony Peregrine","","First sprint camp training - Otervals. Good start to the weekend by doing some more intense stuff in short bursts of controls to warm up the orienteering muscles for the weekend. ",""
"2018-02-17","11","Orienteering","race","","00:18:44","","00:18:44","","","","","3.0","30.0","1.0","","","","","","","","","","","","","","First race of the camp didn't go to well. Wasn't mentally ready at the beginning and spent the rest of the race trying to get into it. Also miss punched on the first trasfer just showing my lack of concentration. ",""
"2018-02-17","13","Orienteering","race","","00:05:11","","","","","00:05:11","","1.2","15.0","4.0","","","","","","","","","","","","Saucony Peregrine","","Pretty good on my leg but a bit shaking on the hand off as I almost let go of the map before she had it. ",""
"2018-02-17","13","Orienteering","race","","00:05:36","","","","","00:05:36","","1.3","20.0","4.0","","","","","","","","","","","","Saucony Peregrine","","Made one mistake where I got my direction mess up taking a weird turn about thick trees. This cost me several seconds as I started on the wrong path, stop relocated and then finally went to the control. ",""
"2018-02-17","14","Orienteering","","","00:17:50","","","00:17:50","","","","2.7","","2.0","","","","","","","","","","","","Saucony Peregrine","","Control picking training. On one of the butterfly loops messed up my direction again and spend several minutes trying to figure it. Finally relocated and redirected by going to one the controls. ",""
"2018-02-17","16","Orienteering","","","00:19:47","","","","","00:19:47","","3.9","25.0","4.0","","","","","","","","","","","","Mizuno Wave Rider","","really struggled with the mulitlevel in the center of the map. On both controls that involved it had a really hard time understanding where things were. ",""
"2018-02-17","16","Orienteering","","","00:22:12","","","","","00:22:12","","3.5","20.0","4.0","","146","171","","","","","","","","","Mizuno Wave Rider","","Route picking exercise. Legs were quite tired from the today and also didn't want to destroy them for the next race. ",""
"2018-02-17","","Orienteering","","","00:14:26","","","","00:14:26","","","3.1","20.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Really enjoyed this race. Like the new race format, really intense. Unfortunately got a mispunched on a control :(. ",""
"2018-02-18","9","Orienteering","","","00:27:27","","","","00:27:27","","","3.8","50.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Multilevel orienteering was hard at the start but by the had a pretty good handle on it. Really fun. ",""
"2018-02-18","12","Orienteering","","","00:20:26","","","","00:20:26","","","3.3","25.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Didn't good very hard on this training (changed from race to training becuase of how icy it was), legs were worn out.",""
"2018-02-18","","Orienteering","","","00:17:37","","","","00:17:37","","","3.0","45.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Really focused my way control taking on this. Did pretty well except where the controls were close together so had trouble keeping up. ",""
"2018-02-20","18","Trail Run","warm up/down","","00:30:00","","","00:30:00","","","","3.4","35.0","2.0","","138","158","","","","","","","","","Saucony Peregrine","","Warm up to intervals. ",""
"2018-02-20","18","Trail Run","intervals","","00:26:48","","","","","00:26:48","","4.9","15.0","4.0","","153","174","","","","","","","","","Saucony Peregrine","","1.2 km loops. Legs were still feeling this weekend so keep it to only loops. ",""
"2018-02-20","18","Trail Run","warm up/down","","00:10:11","","","00:10:11","","","","1.5","","2.0","","144","171","","","","","","","","","Saucony Peregrine","","",""
"2018-02-21","21","Strength","warm up/down","","00:15:00","","00:15:00","","","","","","","1.0","","","","","","","","","","","","","","Back strength ",""
"2018-02-22","","Trail Run","intervals","","00:40:11","","","","","00:40:11","","6.0","65.0","4.0","","146","185","","","","","","","","","Saucony Peregrine","","Control was do a trail and the goal was to try and find the best to route to run to it. As it turned out it was just to take the trail. ",""
"2018-02-22","","Map Study","","","01:00:00","01:00:00","","","","","","","","0.0","","","","","","","","","","","","","","Lecture by Meghan on reducing and correcting errors. ",""
"2018-02-23","16","Forest Run","","","01:06:15","","","","01:06:15","","","7.0","35.0","3.0","","","","","","","","","","","1","Saucony Peregrine","","Brought a map along to practice reading well running. ",""
"2018-02-23","","Strength","warm up/down","","00:12:30","","00:12:30","","","","","","","1.0","","","","","","","","","","","1","","","3 minute plank
20 lunges each leg
20 Reactive elastic hip extension each leg
1 set of back exercises ",""
"2018-02-24","8","Trail Run","long","","01:46:55","","","","01:46:55","","","25.589","230.0","3.0","","156","187","","","","","","","","","Saucony Peregrine","","Good SMT. Ran up K2 really hard. ",""
"2018-02-24","","Strength","warm up/down","","00:11:21","","00:11:21","","","","","","","1.0","","","","","","","","","","","","","","Back strength ",""
"2018-02-25","10","Orienteering","race","","00:57:04","","","","","00:57:04","","8.1","110.0","4.0","","160","184","","","","","","","","","Saucony Peregrine","","Really good race. Nice to be back in the forest after sprint camp. ",""
"2018-02-25","","Strength","warm up/down","","00:11:07","","00:11:07","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank with leg lifts
25 lunges each leg
30 Reactive elastic hip extension each leg
25 leg up each leg",""
"2018-02-26","","Trail Run","","","00:57:23","","","","00:57:23","","","10.8","110.0","3.0","","154","169","","","","","","","","1","Saucony Peregrine","","Legs were quite sore after the race yesterday. ",""
"2018-02-27","18","Trail Run","warm up/down","","00:31:14","","","00:31:14","","","","4.6","40.0","2.0","","","","","","","","","","","","Saucony Peregrine","","Warm up to intervals",""
"2018-02-27","18","Trail Run","hills","","00:32:02","","","","","","00:32:02","6.4","160.0","5.0","","","","","","","","","","","","Saucony Peregrine","","10 short high intensity 1:15 sprints up the golf course road hill. ",""
"2018-02-27","18","Trail Run","warm up/down","","00:10:30","","","00:10:30","","","","1.5","10.0","2.0","","","","","","","","","","","","Saucony Peregrine","","",""
"2018-02-28","","Strength","warm up/down","","00:15:51","","00:15:51","","","","","","","1.0","","","","","","","","","","","1","","","3 minute plank with leg lifts
20 lunges each leg
20 ball marches
25 Reactive elastic hip extension each leg
15 ball bridge
25 leg ups each leg",""
"2018-03-01","17","Orienteering","race","","00:25:28","","","","","00:25:28","","4.1","50.0","4.0","","144","175","","","","","","","","","Saucony Peregrine","","X league went well and were just able to avoid the weather. ",""
"2018-03-01","21","Strength","warm up/down","","00:12:00","","00:12:00","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises.",""
"2018-03-02","16","Forest Run","","","00:48:47","","","","00:48:47","","","5.5","60.0","3.0","","135","163","","","","","","","","1","Saucony Peregrine","","Brought along a map to practice reading well running. Unfortunately the training was cut short by pain in my right heel and leg. ",""
"2018-03-03","8","Trail Run","long","","00:55:10","","","","00:55:10","","","12.875","130.0","3.0","","153","176","","","","","","","","","Saucony Peregrine","","My SMT was brought short by my right leg again. Tarno took a look at and sent me home. ",""
"2018-03-04","10","Orienteering","race","","01:18:02","","","","01:18:02","","","12.4","130.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Took this race easier today because of my leg. As well my legs were pretty sore in general so was no where near top speed.",""
"2018-03-06","18","Trail Run","","","00:56:03","","","","00:56:03","","","9.2","80.0","3.0","","140","154","","","","","","","","","Saucony Peregrine","","Was planning to do intervals but felt a little tension in my ankle tendon so changed to a steady run about the gold course. ",""
"2018-03-07","21","Strength","warm up/down","","00:14:42","","00:14:42","","","","","","","1.0","","","","","","","","","","","1","","","2 minute plank with leg lifts
30 lunges each leg
30 Reactive elastic hip extension each leg
25 pistol squats each leg
20 leg ups each leg",""
"2018-03-08","","Strength","warm up/down","","00:11:49","","00:11:49","","","","","","","1.0","","","","","","","","","","","","","","Back strength exercises ",""
"2018-03-08","18","Road Run","warm up/down","","00:20:05","","","","00:20:05","","","3.7","","3.0","","","","","","","","","","","","Saucony Peregrine","","Running to churchill park and warming up",""
"2018-03-08","18","Road Run","intervals","Strength","00:15:21","","","","00:15:21","","","1.3","","3.0","","","","","","","","","","","","Saucony Peregrine","","Tabatas with sprints, lunges, squats and burpees. ",""
"2018-03-08","18","Trail Run","warm up/down","","00:06:20","","00:06:20","","","","","1.2","","1.0","","","","","","","","","","","","Saucony Peregrine","","Cool down from work out. ",""
"2018-03-08","19","Map Study","","","01:00:00","01:00:00","","","","","","","","0.0","","","","","","","","","","","","","","Lecture by meghan about preparing for races. ",""
"2018-03-09","16","Forest Run","","","01:00:53","","","","01:00:53","","","6.9","140.0","3.0","","142","176","","","","","","","","","Saucony Peregrine","","Took a map out with me to practice reading well running. ",""
"2018-03-10","14","Trail Run","long","","01:31:34","","","","01:31:34","","","14.4","245.0","3.0","","144","164","","","","","","","","","Saucony Peregrine","","Legs were quite tired so run felt tough. ",""
"2018-03-10","10","Map Study","","","02:00:00","02:00:00","","","","","","","","0.0","","","","","","","","","","","","","","Talking about JWOC with Meghan, Emma, and Sianna",""
"2018-03-11","22","Strength","warm up/down","","00:17:15","","00:17:15","","","","","","","1.0","","","","","","","","","","","1","","","2.5 minute plank with leg lifts
25 lunges each leg
15 ball march each leg
30 Reactive elastic hip extension each leg
15 ball bridge each leg",""
"2018-03-12","23","Strength","warm up/down","","00:11:58","","00:11:58","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises. ",""
"2018-03-12","","Trail Run","","","01:06:52","","","","01:06:52","","","11.9","120.0","3.0","","153","169","","","","","","","","","Saucony Peregrine","","Steady run. ",""
"2018-03-13","18","Trail Run","","","00:23:27","","","","00:23:27","","","3.7","30.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Warm up to intervals",""
"2018-03-13","18","Trail Run","intervals","","00:39:09","","","","","","00:39:09","7.1","145.0","5.0","","","","","","","","","","","","Saucony Peregrine","","5 repeats of three sisters hills. ",""
"2018-03-13","18","Trail Run","warm up/down","","00:14:39","","00:14:39","","","","","2.0","45.0","1.0","","","","","","","","","","","","Saucony Peregrine","","",""
"2018-03-13","","Strength","warm up/down","","00:12:02","","00:12:02","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises. ",""
"2018-03-14","15","Trail Run","warm up/down","","00:21:26","","","","00:21:26","","","3.9","90.0","3.0","","147","162","","","","","","","","","Saucony Peregrine","","Warm on my way up to Iroqouia Heights. ",""
"2018-03-14","15","Orienteering","","","00:42:19","","","","00:42:19","","","4.1","85.0","3.0","","131","151","","","","","","","","","Saucony Peregrine","","Training went well. Focused on route planning and compass work. Legs got real scratched up from all the brambles.",""
"2018-03-14","15","Trail Run","warm up/down","","00:27:17","","","","00:27:17","","","4.8","","3.0","","140","160","","","","","","","","","Saucony Peregrine","","Cool down on my run home and reviewing my training. ",""
"2018-03-14","","Strength","warm up/down","","00:12:35","","00:12:35","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises. ",""
"2018-03-15","19","Orienteering","race","","00:30:30","","","","","00:30:30","","6.5","40.0","4.0","","143","182","","","","","","","","","Saucony Peregrine","","Fun last winter x league. Pushed speed on this one. ",""
"2018-03-15","","Strength","warm up/down","","00:12:11","","00:12:11","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises. ",""
"2018-03-16","17","Forest Run","","","01:02:15","","","","01:02:15","","","6.9","135.0","3.0","","137","157","","","","","","","","1","Saucony Peregrine","","Took a map with me to practice reading while running. ",""
"2018-03-16","","Strength","warm up/down","","00:11:57","","00:11:57","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank with leg lifts
25 lunges each leg
30 Reactive elastic hip extension each leg
20 pistol squats each leg",""
"2018-03-17","8","Trail Run","long","","01:50:41","","","","01:50:41","","","17.4","270.0","3.0","","157","185","","","","","","","","","Saucony Peregrine","","Did accelerations and higher intensity stuff on flat while taking hills easy.",""
"2018-03-18","16","Trail Run","","","00:30:48","","","","00:30:48","","","9.334","","3.0","","152","167","","","","","","","","1","Saucony Peregrine","","Took it easy today as not to put too much stress on my ankle after the long run yesterday. ",""
"2018-03-19","16","Trail Run","","","01:08:49","","","","01:08:49","","","12.1","155.0","3.0","","147","164","","","","","","","","1","Saucony Peregrine","","Steady  run up to the bridge and back. ",""
"2018-03-19","21","Strength","warm up/down","","00:07:39","","00:07:39","","","","","","","1.0","","","","","","","","","","","","","","30 Reactive elastic hip extension each leg
20 lunges each leg",""
"2018-03-20","18","Trail Run","warm up/down","","00:24:30","","","","00:24:30","","","3.4","40.0","3.0","","145","177","","","","","","","","","Saucony Peregrine","","Warm up to intervals ",""
"2018-03-20","18","Trail Run","intervals","","00:31:22","","","","","00:31:22","","5.3","100.0","4.0","","147","178","","","","","","","","","Saucony Peregrine","","5 loops of varying length between 800 m to 1200 m.",""
"2018-03-20","18","Trail Run","warm up/down","","00:14:47","","","00:14:47","","","","2.2","15.0","2.0","","149","164","","","","","","","","","Saucony Peregrine","","",""
"2018-03-20","22","Strength","warm up/down","","00:12:39","","00:12:39","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back strength exercises  ",""
"2018-03-21","","Trail Run","intervals","Strength","00:32:51","","","","","00:32:51","","4.7","55.0","4.0","","148","174","","","","","","","","","Saucony Peregrine","","First ARX of the spring. Lots of new faces! 5 loops of intervals and some strength exercises in between. ",""
"2018-03-21","19","Trail Run","warm up/down","","00:14:53","","00:14:53","","","","","1.1","35.0","1.0","","141","171","","","","","","","","","Saucony Peregrine","","Cool down while picking up flags. ",""
"2018-03-22","19","Orienteering","","","00:32:21","","","00:32:21","","","","3.46","15.0","2.0","","128","153","","","","","","","","","Saucony Peregrine","","Compass training, most of the map was blank with just areas around the controls. ",""
"2018-03-22","21","Strength","warm up/down","","00:11:54","","00:11:54","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back strength exercises ",""
